Red Universitaria de Observatorios Atmosfericos (RUOA)
Meteorological Station Temixco (tmix), Morelos
Lat 18.8405 N, Lon 99.2362 W, Alt 1253 masl
Time UTC-6h
Meteorological data
 
TIMESTAMP,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,WDir_Avg,Rain_Tot,Press_Avg,Rad_Avg
yyyy-mm-dd HH:MM:SS,°C,%,m/s,m/s,deg,mm,hPa,W/m^2
2018-02-01 00:00:00,15.72,46.54,1.816,3.24,355.0,0.0,877.748,-1.2
2018-02-01 01:00:00,15.91,44.47,2.834,3.64,339.3,0.0,877.562,-1.4
2018-02-01 02:00:00,15.18,46.53,2.528,3.28,349.0,0.0,877.689,-0.9
2018-02-01 03:00:00,15.42,45.32,2.486,3.48,352.1,0.0,877.256,-1.2
2018-02-01 04:00:00,14.98,46.99,2.783,3.41,339.6,0.0,876.942,-1.2
2018-02-01 05:00:00,14.49,48.61,1.858,2.72,337.3,0.0,876.858,-1.3
2018-02-01 06:00:00,14.29,48.3,2.571,3.72,345.8,0.0,877.153,-1.1
2018-02-01 07:00:00,13.38,51.33,2.704,3.91,351.4,0.0,877.665,-0.9
2018-02-01 08:00:00,13.75,50.17,3.066,4.01,343.4,0.0,878.311,49.6
2018-02-01 09:00:00,16.85,42.13,0.713,1.96,152.8,0.0,879.104,217.5
2018-02-01 10:00:00,19.8,35.2,1.108,2.37,168.3,0.0,879.508,439.5
2018-02-01 11:00:00,21.18,30.54,1.752,3.31,173.3,0.0,879.405,537.0
2018-02-01 12:00:00,23.03,26.3,1.682,4.15,215.2,0.0,878.711,770.6
2018-02-01 13:00:00,24.29,24.31,1.704,3.93,171.5,0.0,877.642,762.8
2018-02-01 14:00:00,25.73,22.57,1.993,4.48,154.4,0.0,876.421,679.0
2018-02-01 15:00:00,25.38,23.19,2.307,4.28,174.9,0.0,875.562,382.0
2018-02-01 16:00:00,26.08,21.79,1.65,3.25,157.4,0.0,875.159,332.1
2018-02-01 17:00:00,26.87,19.92,0.953,2.29,115.7,0.0,875.135,288.9
2018-02-01 18:00:00,26.96,19.98,0.669,1.86,90.6,0.0,875.283,126.7
2018-02-01 19:00:00,25.74,22.2,0.951,1.62,33.4,0.0,875.632,10.3
2018-02-01 20:00:00,22.69,28.48,2.251,3.82,353.9,0.0,876.16,-1.0
2018-02-01 21:00:00,21.15,31.59,2.573,4.1,345.2,0.0,876.919,-1.3
2018-02-01 22:00:00,20.7,32.8,1.859,3.29,342.9,0.0,877.295,-1.5
2018-02-01 23:00:00,20.49,33.6,1.572,3.6,13.8,0.0,877.699,-1.5
2018-02-02 00:00:00,19.92,35.12,2.66,3.82,354.4,0.0,878.064,-1.4
2018-02-02 01:00:00,19.76,34.26,2.965,4.33,343.8,0.0,878.186,-1.5
2018-02-02 02:00:00,18.52,37.0,1.916,4.41,342.7,0.0,877.994,-1.2
2018-02-02 03:00:00,18.46,35.84,1.184,3.22,337.2,0.0,877.904,-1.8
2018-02-02 04:00:00,17.28,37.72,1.569,3.62,356.1,0.0,877.869,-1.3
2018-02-02 05:00:00,17.12,36.45,2.696,3.48,348.4,0.0,877.925,-1.4
2018-02-02 06:00:00,16.76,37.06,2.677,3.52,344.7,0.0,878.2,-1.4
2018-02-02 07:00:00,15.71,41.75,2.467,3.22,343.7,0.0,878.601,-1.1
