Red Universitaria de Observatorios Atmosfericos (RUOA)
Meteorological Station Temixco (tmix), Morelos
Lat 18.8405 N, Lon 99.2362 W, Alt 1253 masl
Time UTC-6h
Meteorological data
 
TIMESTAMP,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,WDir_Avg,Rain_Tot,Press_Avg,Rad_Avg
yyyy-mm-dd HH:MM:SS,°C,%,m/s,m/s,deg,mm,hPa,W/m^2
2022-12-01 00:00:00,22.12,48.59,0.563,2.375,20.5,0.0,877.047,-1.367
2022-12-01 01:00:00,20.95,53.89,1.566,3.5,245.7,0.0,877.104,-1.094
2022-12-01 02:00:00,20.01,58.16,2.438,3.8,275.9,0.0,877.341,-1.047
2022-12-01 03:00:00,19.24,61.09,3.096,4.925,282.9,0.0,877.038,-1.365
2022-12-01 04:00:00,18.88,61.16,2.044,3.8,295.0,0.0,877.113,-1.28
2022-12-01 05:00:00,18.17,63.31,1.509,2.75,295.4,0.0,877.313,-1.48
2022-12-01 06:00:00,17.63,64.46,2.378,4.025,292.3,0.0,877.646,-1.137
2022-12-01 07:00:00,16.8,68.57,1.365,2.825,339.0,0.0,878.397,2.174
2022-12-01 08:00:00,17.45,66.13,1.243,3.275,330.2,0.0,879.349,78.315
2022-12-01 09:00:00,19.61,58.36,0.886,3.05,294.3,0.0,879.95,156.442
2022-12-01 10:00:00,20.33,53.28,1.534,2.525,254.4,0.0,880.166,223.83
2022-12-01 11:00:00,21.1,49.98,2.083,4.25,179.0,0.0,879.934,445.535
2022-12-01 12:00:00,22.56,46.6,0.835,3.2,155.6,0.0,879.409,577.102
2022-12-01 13:00:00,24.51,39.58,0.957,2.9,88.4,0.0,878.47,790.543
2022-12-01 14:00:00,25.79,37.67,1.734,4.175,147.8,0.0,877.417,804.335
2022-12-01 15:00:00,26.9,34.68,1.809,4.85,152.1,0.0,876.721,715.678
2022-12-01 16:00:00,27.43,30.96,2.234,5.6,102.1,0.0,876.115,520.752
2022-12-01 17:00:00,26.46,32.43,1.696,3.875,46.0,0.0,875.834,160.514
2022-12-01 18:00:00,25.38,36.72,2.438,4.325,110.9,0.0,876.3,38.21
