Red Universitaria de Observatorios Atmosfericos (RUOA)
Meteorological Station Temixco (tmix), Morelos
Lat 18.8405 N, Lon 99.2362 W, Alt 1253 masl
Time UTC-6h
Meteorological data
 
TIMESTAMP,Temp_Avg,RH_Avg,WSpeed_Avg,WSpeed_Max,WDir_Avg,Rain_Tot,Press_Avg,Rad_Avg
yyyy-mm-dd HH:MM:SS,°C,%,m/s,m/s,deg,mm,hPa,W/m^2
2022-02-01 00:00:00,19.49,48.01,2.405,4.175,326.5,0.0,873.62,-1.462
2022-02-01 01:00:00,18.56,47.76,1.854,3.275,328.4,0.0,873.243,-1.525
2022-02-01 02:00:00,17.95,47.65,1.47,2.675,323.2,0.0,872.986,-1.681
2022-02-01 03:00:00,17.01,47.4,2.291,3.65,314.4,0.0,872.509,-1.411
2022-02-01 04:00:00,16.7,47.36,1.786,3.275,325.2,0.0,872.358,-1.491
2022-02-01 05:00:00,16.46,47.32,1.527,2.45,299.2,0.0,872.337,-1.69
2022-02-01 06:00:00,15.9,47.16,2.855,4.175,322.9,0.0,872.681,-1.361
2022-02-01 07:00:00,16.5,47.31,1.973,2.75,326.5,0.0,873.293,-1.492
2022-02-01 08:00:00,15.54,47.01,2.314,2.975,320.6,0.0,873.996,42.803
2022-02-01 09:00:00,19.21,47.72,0.626,2.375,5.0,0.0,874.608,237.383
2022-02-01 10:00:00,21.21,47.82,1.064,2.9,155.5,0.0,875.176,474.065
2022-02-01 11:00:00,22.29,48.18,1.422,3.575,158.6,0.0,875.0,680.317
2022-02-01 12:00:00,23.75,48.49,1.523,3.875,134.1,0.0,874.196,818.575
2022-02-01 13:00:00,25.15,48.85,1.659,3.875,108.6,0.0,873.076,881.1
2022-02-01 14:00:00,26.37,49.22,1.935,3.95,87.1,0.0,871.683,869.467
2022-02-01 15:00:00,27.57,49.51,2.452,6.5,131.2,0.0,870.484,785.25
2022-02-01 16:00:00,28.55,49.77,3.238,7.925,196.5,0.0,869.513,637.248
2022-02-01 17:00:00,28.97,49.84,2.707,6.425,148.2,0.0,869.069,422.353
2022-02-01 18:00:00,28.81,49.85,2.68,5.15,160.5,0.0,869.108,186.116
2022-02-01 19:00:00,27.35,49.76,3.211,5.825,186.5,0.0,869.479,17.284
2022-02-01 20:00:00,25.62,49.4,3.753,6.8,207.8,0.0,870.015,-1.595
2022-02-01 21:00:00,23.91,48.92,1.75,4.775,257.5,0.0,870.777,-1.63
2022-02-01 22:00:00,21.12,48.21,1.779,2.975,315.7,0.0,871.497,-1.453
2022-02-01 23:00:00,19.91,47.91,2.439,3.2,311.2,0.0,871.857,-1.619
