"Timestamp" "I_dir [W/m2]" "I_glo[W/m2]" "I_dif[W/m2]" "Iglo_inc[W/m2]" "Indice_UV[W/m2]" "Indice_UVA[W/m2]" "AirTC[°C]" "HR[%]" "WS[m/s]" "WD[grados]" "PB[mbar]" "Rain[mm]"
"9/5/2024 10:50:00 AM" 24.30 357.00 273.20 356.20 0.08 26.48 26.53 70.91 1.24 1.56 864.98 0.10
"9/5/2024 10:40:00 AM" 380.40 768.30 356.60 766.90 0.13 47.16 27.30 68.81 1.66 1.56 864.98 0.00
"9/5/2024 10:30:00 AM" 451.40 802.00 341.20 803.00 0.13 48.76 26.89 68.30 0.63 1.57 865.11 0.00
"9/5/2024 10:20:00 AM" 355.90 670.30 301.10 674.40 0.11 42.37 26.53 71.56 1.43 1.57 865.16 0.00
"9/5/2024 10:10:00 AM" 421.80 780.80 355.60 782.80 0.12 46.87 26.41 73.18 0.88 1.54 865.19 0.00
"9/5/2024 10:00:00 AM" 231.90 566.80 302.90 568.70 0.09 36.37 25.34 78.97 0.31 1.55 865.10 0.00
"9/5/2024 9:50:00 AM" 121.50 482.60 314.00 483.00 0.08 31.81 24.50 82.50 0.38 1.54 865.14 0.00
"9/5/2024 9:40:00 AM" 113.90 520.40 349.10 519.60 0.08 33.39 23.79 84.20 0.83 1.57 865.11 0.00
"9/5/2024 9:30:00 AM" 6.20 331.30 273.80 327.60 0.05 23.56 23.15 88.60 0.63 332.50 865.07 0.00
"9/5/2024 9:20:00 AM" 15.57 347.80 271.20 356.80 0.05 22.82 23.16 89.20 0.96 337.90 865.09 0.00
"9/5/2024 9:10:00 AM" 14.33 342.30 270.90 347.20 0.04 21.47 22.94 90.80 0.71 294.80 865.18 0.00
"9/5/2024 9:00:00 AM" 16.61 339.00 272.00 334.10 0.04 20.73 22.60 93.10 1.14 258.30 865.07 0.00
"9/5/2024 8:50:00 AM" 2287.00 325.20 241.40 317.70 0.04 19.19 22.36 93.60 0.38 279.30 864.98 0.00
