Timestamp,I_dir [W/m2],I_glo[W/m2],I_dif[W/m2],Iglo_inc[W/m2],Indice_UV[W/m2],Indice_UVA[W/m2],AirTC[°C],HR[%],WS[m/s],WD[grados],PB[mbar],Rain[mm]
2024-08-30 23:10:00,0.01,0.0,0.0,0.0,0.0,0.0,22.29,93.6,1.54,331.2,865.12,0.0
2024-08-30 23:20:00,0.06,0.0,0.0,0.0,0.0,0.0,22.42,92.0,1.46,330.4,865.21,0.0
2024-08-30 23:30:00,0.02,0.0,0.0,0.0,0.0,0.0,22.53,91.6,0.85,326.6,865.15,0.0
2024-08-30 23:40:00,0.03,0.0,0.0,0.0,0.0,0.0,22.56,91.3,1.01,339.8,865.13,0.0
2024-08-30 23:50:00,0.02,0.0,0.0,0.0,0.0,0.0,22.49,92.7,0.56,347.2,865.29,0.0
2024-08-31 00:00:00,0.01,0.0,0.0,0.0,0.0,0.0,22.35,94.0,1.28,338.3,865.28,0.0
2024-08-31 00:10:00,0.01,0.0,0.0,0.0,0.0,0.0,22.12,92.7,1.36,325.9,865.33,0.0
2024-08-31 00:20:00,0.06,0.0,0.0,0.0,0.0,0.0,22.36,92.0,0.36,337.4,865.26,0.0
2024-08-31 00:30:00,0.01,0.0,0.0,0.0,0.0,0.0,22.36,93.6,0.89,266.1,864.94,0.0
2024-08-31 00:40:00,0.05,0.0,0.0,0.0,0.0,0.0,22.38,90.9,2.21,306.6,864.77,0.0
2024-08-31 00:50:00,0.05,0.0,0.0,0.0,0.0,0.0,22.37,91.6,0.88,329.0,864.68,0.0
2024-08-31 01:00:00,0.09,0.0,0.0,0.0,0.0,0.0,22.43,90.5,1.45,210.7,864.88,0.0
2024-08-31 01:10:00,0.01,0.0,0.0,0.0,0.0,0.0,22.41,91.7,3.31,164.2,865.06,0.0
2024-08-31 01:20:00,0.0,0.72,0.0,0.0,0.0,0.0,21.18,91.2,5.75,182.2,864.95,0.0
2024-08-31 01:30:00,0.0,0.02,0.0,0.0,0.0,0.0,20.35,92.9,5.31,180.0,864.93,0.0
2024-08-31 01:40:00,0.03,0.0,0.0,0.0,0.0,0.0,20.17,93.7,1.9,2.62,864.79,0.0
2024-08-31 01:50:00,0.04,1.22,0.0,0.08,0.0,0.0,20.16,96.1,1.47,132.6,865.45,0.8
2024-08-31 02:00:00,0.01,1.96,0.0,0.0,0.0,0.0,18.77,100.0,0.66,63.7,865.63,3.3
2024-08-31 02:10:00,0.18,0.02,0.01,0.03,0.0,0.0,18.63,100.0,0.76,312.0,865.71,3.4
